,Model,Seed nodes,Inf_Threshold,Graph_size,FG_infection,SG_infection,Density,40% Diffusion,60% Diffusion,80% Diffusion
0,ICM,0.1,0.1,4164,0.12259846301633046,0.11167146974063401,0.0015492596020521114,50.5,50.5,50.5
1,ICM,0.1,0.2,4164,0.2256243996157541,0.18792026897214217,0.0015492596020521114,2.0,50.5,50.5
2,ICM,0.1,0.30000000000000004,4164,0.295268972142171,0.24327569644572528,0.0015492596020521114,1.0,50.5,50.5
3,ICM,0.1,0.4,4164,0.35878962536023057,0.3100384245917387,0.0015492596020521114,1.0,1.5,50.5
4,ICM,0.2,0.1,4164,0.1803554274735831,0.16882804995196926,0.0015492596020521114,50.5,50.5,50.5
5,ICM,0.2,0.2,4164,0.2659702209414025,0.24543707973102785,0.0015492596020521114,1.0,50.5,50.5
6,ICM,0.2,0.30000000000000004,4164,0.3320124879923151,0.3025936599423631,0.0015492596020521114,0.5,1.5,50.5
7,ICM,0.2,0.4,4164,0.37644092219020175,0.3569884726224784,0.0015492596020521114,0.5,1.0,50.5
8,ICM,0.30000000000000004,0.1,4164,0.2388328530259366,0.21950048030739674,0.0015492596020521114,0.5,50.5,50.5
9,ICM,0.30000000000000004,0.2,4164,0.31075888568683957,0.29550912584053796,0.0015492596020521114,0.5,1.5,50.5
10,ICM,0.30000000000000004,0.30000000000000004,4164,0.3633525456292027,0.34570124879923153,0.0015492596020521114,0.5,1.0,50.5
11,ICM,0.30000000000000004,0.4,4164,0.3979346781940442,0.3937319884726225,0.0015492596020521114,0.5,1.0,50.5
12,ICM,0.4,0.1,4164,0.2855427473583093,0.27461575408261285,0.0015492596020521114,0.5,50.5,50.5
13,ICM,0.4,0.2,4164,0.35014409221902015,0.33213256484149856,0.0015492596020521114,0.5,0.5,50.5
14,ICM,0.4,0.30000000000000004,4164,0.39121037463976943,0.38064361191162344,0.0015492596020521114,0.5,0.5,50.5
15,ICM,0.4,0.4,4164,0.41930835734870314,0.40597982708933716,0.0015492596020521114,0.5,0.5,1.0
