,Model,Seed nodes,Inf_Threshold,Graph_size,FG_infection,SG_infection,Density,40% Diffusion,60% Diffusion,80% Diffusion
0,ICM,0.1,0.1,2451,0.23765809873521013,0.23908608731130152,0.017763012181616834,1.0,50.5,50.5
1,ICM,0.1,0.2,2451,0.288249694002448,0.266421868625051,0.017763012181616834,1.0,50.5,50.5
2,ICM,0.1,0.30000000000000004,2451,0.32170542635658916,0.2898816809465524,0.017763012181616834,1.0,1.0,50.5
3,ICM,0.1,0.4,2451,0.35964912280701755,0.3068135454916361,0.017763012181616834,1.0,1.0,50.5
4,ICM,0.2,0.1,2451,0.27050183598531213,0.26356589147286824,0.017763012181616834,0.5,50.5,50.5
5,ICM,0.2,0.2,2451,0.31946144430844553,0.28600571195430435,0.017763012181616834,0.5,1.0,50.5
6,ICM,0.2,0.30000000000000004,2451,0.3419012647898817,0.3039575683394533,0.017763012181616834,0.5,1.0,50.5
7,ICM,0.2,0.4,2451,0.37800897592819255,0.3204814361485108,0.017763012181616834,0.5,1.0,50.5
8,ICM,0.30000000000000004,0.1,2451,0.2964096287229702,0.28600571195430435,0.017763012181616834,0.5,50.5,50.5
9,ICM,0.30000000000000004,0.2,2451,0.33598531211750304,0.3039575683394533,0.017763012181616834,0.5,1.0,50.5
10,ICM,0.30000000000000004,0.30000000000000004,2451,0.3690330477356181,0.3168094655242758,0.017763012181616834,0.5,1.0,50.5
11,ICM,0.30000000000000004,0.4,2451,0.39310485516115873,0.3363933088535292,0.017763012181616834,0.5,0.5,50.5
12,ICM,0.4,0.1,2451,0.32864137086903306,0.3076295389636883,0.017763012181616834,0.5,1.0,50.5
13,ICM,0.4,0.2,2451,0.3627090983272134,0.32456140350877194,0.017763012181616834,0.5,0.5,50.5
14,ICM,0.4,0.30000000000000004,2451,0.38372093023255816,0.34312525499796004,0.017763012181616834,0.5,0.5,50.5
15,ICM,0.4,0.4,2451,0.4024887800897593,0.35046919624643,0.017763012181616834,0.5,0.5,1.0
