,Model,Seed nodes,Inf_Threshold,Graph_size,FG_infection,SG_infection,Density,40% Diffusion,60% Diffusion,80% Diffusion
0,ICM,0.1,0.1,21467,0.13700097824567942,0.12195462803372618,0.00039637107149843436,50.5,50.5,50.5
1,ICM,0.1,0.2,21467,0.19739600316765268,0.1680486327852052,0.00039637107149843436,50.5,50.5,50.5
2,ICM,0.1,0.30000000000000004,21467,0.2441188801416127,0.20238039781990963,0.00039637107149843436,1.0,50.5,50.5
3,ICM,0.1,0.4,21467,0.28657940094097917,0.24029906367913542,0.00039637107149843436,1.0,50.5,50.5
4,ICM,0.2,0.1,21467,0.17692271859132622,0.16355336097265571,0.00039637107149843436,50.5,50.5,50.5
5,ICM,0.2,0.2,21467,0.22748870359155915,0.20286952065961708,0.00039637107149843436,1.0,50.5,50.5
6,ICM,0.2,0.30000000000000004,21467,0.2716029254204127,0.2392509433083337,0.00039637107149843436,1.0,50.5,50.5
7,ICM,0.2,0.4,21467,0.31033679601248426,0.2682256486700517,0.00039637107149843436,1.0,1.0,50.5
8,ICM,0.30000000000000004,0.1,21467,0.21940653095448828,0.20398751572180557,0.00039637107149843436,1.0,50.5,50.5
9,ICM,0.30000000000000004,0.2,21467,0.26184376019005917,0.24027577211533982,0.00039637107149843436,1.0,50.5,50.5
10,ICM,0.30000000000000004,0.30000000000000004,21467,0.3016956258443192,0.27046163879442864,0.00039637107149843436,0.5,1.0,50.5
11,ICM,0.30000000000000004,0.4,21467,0.3357246005496809,0.2989239297526436,0.00039637107149843436,0.5,1.0,50.5
12,ICM,0.4,0.1,21467,0.2579074859086039,0.24633157870219408,0.00039637107149843436,0.5,50.5,50.5
13,ICM,0.4,0.2,21467,0.2958727348954209,0.2774025248055154,0.00039637107149843436,0.5,50.5,50.5
14,ICM,0.4,0.30000000000000004,21467,0.32959891927143986,0.3033959100013975,0.00039637107149843436,0.5,1.0,50.5
15,ICM,0.4,0.4,21467,0.35899287278147857,0.3289234639213677,0.00039637107149843436,0.5,1.0,50.5
