,Model,Seed nodes,Inf_Threshold,Graph_size,FG_infection,SG_infection,Density,40% Diffusion,60% Diffusion,80% Diffusion
0,ICM,0.1,0.1,767,0.0788787483702738,0.056714471968709254,0.0035232723200152504,50.5,50.5,50.5
1,ICM,0.1,0.2,767,0.13624511082138202,0.09191655801825294,0.0035232723200152504,50.5,50.5,50.5
2,ICM,0.1,0.30000000000000004,767,0.18578878748370273,0.1290743155149935,0.0035232723200152504,50.5,50.5,50.5
3,ICM,0.1,0.4,767,0.21642764015645372,0.16036505867014342,0.0035232723200152504,1.5,50.5,50.5
4,ICM,0.2,0.1,767,0.1303780964797914,0.11994784876140809,0.0035232723200152504,50.5,50.5,50.5
5,ICM,0.2,0.2,767,0.17992177314211213,0.16558018252933507,0.0035232723200152504,50.5,50.5,50.5
6,ICM,0.2,0.30000000000000004,767,0.23533246414602346,0.20795306388526727,0.0035232723200152504,1.5,50.5,50.5
7,ICM,0.2,0.4,767,0.2907431551499348,0.2529335071707953,0.0035232723200152504,1.0,50.5,50.5
8,ICM,0.30000000000000004,0.1,767,0.1877444589308996,0.1694915254237288,0.0035232723200152504,50.5,50.5,50.5
9,ICM,0.30000000000000004,0.2,767,0.2320730117340287,0.2014341590612777,0.0035232723200152504,1.0,50.5,50.5
10,ICM,0.30000000000000004,0.30000000000000004,767,0.2757496740547588,0.2522816166883963,0.0035232723200152504,0.5,50.5,50.5
11,ICM,0.30000000000000004,0.4,767,0.3155149934810952,0.2777053455019557,0.0035232723200152504,0.5,1.0,50.5
12,ICM,0.4,0.1,767,0.2288135593220339,0.22685788787483702,0.0035232723200152504,0.5,50.5,50.5
13,ICM,0.4,0.2,767,0.28748370273794005,0.26727509778357234,0.0035232723200152504,0.5,50.5,50.5
14,ICM,0.4,0.30000000000000004,767,0.3011734028683181,0.303129074315515,0.0035232723200152504,0.5,1.0,50.5
15,ICM,0.4,0.4,767,0.34419817470664926,0.34485006518904826,0.0035232723200152504,0.5,1.0,50.5
